GA;GB;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;
1500;Управление Федеральной налоговой службы по Республике Северная Осетия-Алания;УФНС России по Республике Северная Осетия-Алания;Таймазов Тимур Борисович;Бестаев Мухарбег Иванович, Гусов Юрий Асланбекович;http://www.nalog.ru/rn15/about_fts/fts/functions_fts/funct_ufns/;362027,г.Владикавказ,ул.Джанаева,39;7 (8672) 40-21-03;7 (8672) 40-21-15;http://www.nalog.ru/rn15/about_fts/ufns_info/;1515900068;151501001;u15@r15.nalog.ru;
1600;Управление Федеральной налоговой службы по  Республике Татарстан;УФНС России по Республике Татарстан;"

Сафиуллин Марат Адипович ";"Шацило Галина Владиславовна,
Никиташин Андрей Геннадьевич,
Госсамова Чулпан Фаритовна,
Усманов Раис Алимжанович,
Козачек Ирина Владимировна";http://www.nalog.ru/rn16/about_fts/fts/functions_fts/funct_ufns/;420111 г. Казань ул.Театральная,13а;7 (843) 235-13-67 ;7 (843) 235-11-04;http://www.nalog.ru/rn16/about_fts/ufns_info/;1654009437;165501001;"u16@r16.nalog.ru
";
1700;Управление Федеральной налоговой службы по Республике Тыва;УФНС России по Республике Тыва;Суге-Маадыр Вероника Самбууевна;Олчейбен Шолбана Владимировна;http://www.nalog.ru/rn17/about_fts/fts/functions_fts/funct_ufns/;667000, Республика Тыва, г. Кызыл, Ленина ул., д. 11;7 (39422) 9-40-45;7 (39422) 3-24-70;http://www.nalog.ru/rn17/about_fts/ufns_info/;1701037515;170101001; u17@r17.nalog.ru;
1800;Управление Федеральной налоговой службы по Удмуртской Республике;УФНС России по Удмуртской Республике;"

Горюнов Юрий Николаевич";"Ашихмина Марианна Васильевна,
Кузнецова Венера Гаптрашидовна,
Каменщиков Марк Феликсович";http://www.nalog.ru/rn18/about_fts/fts/functions_fts/funct_ufns/;426008, Удмуртская Республика, г. Ижевск, Коммунаров ул., д. 367;7 (3412) 488-300 ;7 (3412) 488-302;http://www.nalog.ru/rn18/about_fts/ufns_info/;1831101183;183101001;http://www.r18.nalog.ru/obr_fns/;
1900;Управление Федеральной налоговой службы по Республике Хакасия;УФНС России по Республике Хакасия;"

Диденко Светлана Николаевна";"

Кичеева Лариса Витальевна, 

Капутская Юлия Валерьевна, 

Мехнина Людмила Олеговна";http://www.nalog.ru/rn19/about_fts/fts/functions_fts/funct_ufns/;655017, Республика Хакасия, г.Абакан, ул.Крылова 76;7(3902)22-99-90;7(3902)23-20-05;http://www.nalog.ru/rn19/about_fts/ufns_info/;1901065260;190101001;u19@r19.nalog.ru;
2000;Управление Федеральной налоговой службы по Чеченской Республике;УФНС России по Чеченской Республике;Цамаев Мовсар Абуязитович;Тумхаджиев Саид Бухарович, Гучигов Шамсудин Мовлдыевич, Мустапаев Руслан Халидович, Канаев Хамзат Хокиевич;http://www.nalog.ru/rn20/about_fts/fts/functions_fts/funct_ufns/;364051, Чеченская Республика, г. Грозный, ул. С.Ш. Лорсанова д. 12;7 (8712) 62-79-37 ;7 (8712) 62-79-06;http://www.nalog.ru/rn20/about_fts/ufns_info/;2014029490;201401001;u20@r20.nalog.ru;
2100;Управление Федеральной налоговой службы по Чувашской Республике;УФНС России по Чувашской Республике;Никина Ольга Михайловна;Аристова Светлана Ивановна, ;http://www.nalog.ru/rn21/about_fts/fts/functions_fts/funct_ufns/;428018, г. Чебоксары, ул. Нижегородская, д.8;7 (8352) 30-27-81;7 (8352) 58-69-64;http://www.nalog.ru/rn21/about_fts/ufns_info/;2128700000;213001001;u21@r21.nalog.ru;
2200;Управление Федеральной налоговой службы по Алтайскому краю;УФНС России по Алтайскому краю;"

Тарада Валерий Викторович";"

Савченко Галина Ивановна, 

Омелич Сергей Юрьевич, 

Цыганкова Лариса Витальевна";http://www.nalog.ru/rn22/about_fts/fts/functions_fts/funct_ufns/;656038, г. Барнаул, Комсомольский пр., д. 118;7 (3852) 669-477;7 (3852) 364-619;http://www.nalog.ru/rn22/about_fts/ufns_info/;2224090766;222401001;"u22@r22.nalog.ru
";
2300;Управление Федеральной налоговой службы по Краснодарскому краю;УФНС России по Краснодарскому краю;Семёнов Алексей Николаевич;"Артеменков Евгений Федорович,
Загоруйко Наталья Изосимовна,
Котов Валерий Вячеславович,
Пивоварова Елена Евгеньевна,
Шабанов Игорь Анатольевич";http://www.nalog.ru/rn23/about_fts/fts/functions_fts/funct_ufns/;350000, г. Краснодар, ул. Гоголя, 90;7 (861) 262-63-63;7 (861) 262-68-04;http://www.nalog.ru/rn23/about_fts/ufns_info/;2308022804;231001001;"u23@r23.nalog.ru
";
2400;Управление Федеральной налоговой службы по Красноярскому краю;УФНС России по Красноярскому краю;Бураков Дмитрий Сергеевич;"Петрик Александр Анатольевич,
Черкашина Татьяна Анатольевна,
Бучацкая Ольга Валентиновна,
Лиференко Вадим Владимирович";http://www.nalog.ru/rn24/about_fts/fts/functions_fts/funct_ufns/;660133, г. Красноярск, ул.Партизана Железняка, 46;7 (391) 263-92-96;7 (391) 262-94-69;http://www.nalog.ru/rn24/about_fts/ufns_info/;2465087262;246501001;u24@r24.nalog.ru;
2500;Управление Федеральной налоговой службы по Приморскому краю;УФНС России по Приморскому краю;Колесникова Галина Васильевна;Каграманова Елена Дмитриевна, Перегуда Светлана Анатольевна, Ян Надежда Владимировна, Колесникова Светлана Олеговна;http://www.nalog.ru/rn25/about_fts/fts/functions_fts/funct_ufns/;690007, г. Владивосток, 1-я Морская ул., д. 2;7 (423) 241-12-30;7 (423) 241-06-31;http://www.nalog.ru/rn25/about_fts/ufns_info/;2540029914;254001001;u25@r25.nalog.ru;
2600;Управление Федеральной налоговой службы по Ставропольскому краю;УФНС России по Ставропольскому краю;Воронков Владимир Витальевич;Афонина Елена Алексеевна, Лычагина Светлана Михайловна, Афанасов Николай Николаевич, Русанов Игорь Владимирович;http://www.nalog.ru/rn26/about_fts/fts/functions_fts/funct_ufns/;355003, г. Ставрополь, ул. Ленина, 293;7 (865-2) 35-54-38;7 (865-2) 35-40-39;http://www.nalog.ru/rn26/about_fts/ufns_info/;2635329994;263501001;u26@r26.nalog.ru;
2700;Управление Федеральной налоговой службы по  Хабаровскому краю;УФНС России по Хабаровскому краю;"

Ефремов Сергей Викторович";"Себякин Константин Иванович,
Колбергс Виктор Эриксович,
Кабанова Елена Борисовна,
Хаблова Елена Анатольевна";http://www.nalog.ru/rn27/about_fts/fts/functions_fts/funct_ufns/;680000, г. Хабаровск, ул. Дзержинского, д. 41;7 (4212) 29-23-01 ;7 (4212) 32-67-08 ;http://www.nalog.ru/rn27/about_fts/ufns_info/;2721121446;272101001; u27@r27.nalog.ru;
2800;Управление Федеральной налоговой службы по Амурской области;УФНС России по Амурской области;Гончарова Наталья Тимофеевна;"Бутовец Ирина Васильевна,
Трошин Алексей Геннадьевич,
Астайкина Елена Сергеевна";http://www.nalog.ru/rn28/about_fts/fts/functions_fts/funct_ufns/;675000 г. Благовещенск пер. Советский, 65/1;7 (4162) 390-565;7 (4162) 390-501;http://www.nalog.ru/rn28/about_fts/ufns_info/;2801099980;280101001;"u28@r28.nalog.ru
";
2900;Управление Федеральной налоговой службы по Архангельской области и Ненецкому автономному округу;УФНС России по Архангельской области и Ненецкому автономному округу;"

Родионов Сергей Викторович";"

Булгаков Юрий Станиславович, 

Полякова Жанна Анатольевна, 

Рудакова Софья Николаевна";http://www.nalog.ru/rn29/about_fts/fts/functions_fts/funct_ufns/;163000, г.Архангельск, ул.Свободы, д.33;7 (8182) 63-55-79 ;7 (8182) 63-55-00;http://www.nalog.ru/rn29/about_fts/ufns_info/;2901130440;290101001; u29@r29.nalog.ru;
3000;Управление Федеральной налоговой службы по Астраханской области;УФНС России по Астраханской области;"

Кукин Иван Михайлович";"    Барков Михаил Вячеславович,
    Попова Анна Васильевна,
    Чайкина Марина Геннадьевна

";http://www.nalog.ru/rn30/about_fts/fts/functions_fts/funct_ufns/;414014, г.Астрахань, пр.Губернатора Анатолия Гужвина,10;7(8512) 32-17-08;7(8512) 32-17-22;http://www.nalog.ru/rn30/about_fts/ufns_info/;3015067282;301501001;w30@kr30.nalog.ru;
3100;Управление Федеральной налоговой службы по Белгородской области;УФНС России по Белгородской области;"

Понкратов Игорь Николаевич ";"Козлов Андрей Витальевич,
Кочергин Сергей Валерьевич,
Попов Николай Евгеньевич";http://www.nalog.ru/rn31/about_fts/fts/functions_fts/funct_ufns/;308000, г.Белгород, ул. Преображенская, 61;7 (4722) 30-15-35;7 (4722) 30-15-05;http://www.nalog.ru/rn31/about_fts/ufns_info/;3123022024;312301001;u31@r31.nalog.ru;
3200;Управление Федеральной налоговой службы по Брянской области;УФНС России по Брянской области;"

Маркелов Андрей Александрович";"

Дулепова Татьяна Васильевна, 

Зайцев Виктор Федорович, 

Тарасова Ирина Андреевна, 

Дмитриева Елена Витальевна";http://www.nalog.ru/rn32/about_fts/fts/functions_fts/funct_ufns/;241037, г. Брянск, ул. Крахмалева, 53;7 (4832) 72-96-29 ;7 (4832) 65-21-35;http://www.nalog.ru/rn32/about_fts/ufns_info/;3250057478;325701001;"u32@r32.nalog.ru
";
3300;Управление Федеральной налоговой службы по Владимирской области;УФНС России по Владимирской области;"

Кошелев Сергей Александрович";"Майоров Максим Геннадьевич,
Закирова Светлана Валентиновна,
Корытина Людмила Александровна,
Пигасина Галина Валерьевна";http://www.nalog.ru/rn33/about_fts/fts/functions_fts/funct_ufns/;600001, г. Владимир, Д. Левитана ул., 2;7 (4922) 32-70-62;7 (4922) 54-76-73 ;http://www.nalog.ru/rn33/about_fts/ufns_info/;3329001660;332701001; u33@r33.nalog.ru;
3400;Управление Федеральной налоговой службы по Волгоградской области;УФНС России по Волгоградской области;"

Иванов Роман Альбертович";"

Зинина Ольга Александровна, 

Карташов Михаил Александрович, 

Медведский Сергей Павлович, 

Егорова Елена Николаевна, 

Киргизова Наталья Александровна";http://www.nalog.ru/rn34/about_fts/fts/functions_fts/funct_ufns/;400005, г.Волгоград, пр. им.Ленина, 90;7 (8442) 74-22-22;7(8442) 74-29-41;http://www.nalog.ru/rn34/about_fts/ufns_info/;3442075551;344201001;u34@r34.nalog.ru;
3500;Управление Федеральной налоговой службы по Вологодской области;УФНС России по Вологодской области;"

Сущевская Юлия Владимировна";"

Несговоров Валерий Евгеньевич, Макарова Светлана Васильевна";http://www.nalog.ru/rn35/about_fts/fts/functions_fts/funct_ufns/;160000, г.Вологда, ул.Герцена, д.1;7 (8172) 57-06-20;7 (8172) 57-05-61;http://www.nalog.ru/rn35/about_fts/ufns_info/;3525145001;352501001; u35@r35.nalog.ru;
3600;Управление Федеральной налоговой службы по Воронежской области;УФНС России по Воронежской области;Дуканов Сергей Сергеевич;"Тыняная Светлана Леонидовна,
Шулекина Ирина Олеговна,
Конин Сергей Викторович,
Паринова Марина Тимофеевна";http://www.nalog.ru/rn36/about_fts/fts/functions_fts/funct_ufns/;394006, Воронеж,К. Маркса ул., 46;7 (473) 260-87-08;7 (473) 277-76-90;http://www.nalog.ru/rn36/about_fts/ufns_info/;3666119484;366601001;u36@r36.nalog.ru;
3700;Управление Федеральной налоговой службы по Ивановской области;УФНС России по Ивановской области;"

Петропольская Анна Николаевна";"

Соколов Андрей Витальевич, 

Иванова Ольга Валентиновна, 

Яковлев Олег Александрович, 

Бакушева Солмаз Агаяровна";http://www.nalog.ru/rn37/about_fts/fts/functions_fts/funct_ufns/;153000,г. Иваново, Почтовая ул., д.24;7(4932) 31-39-99;7(4932) 30-01-55;http://www.nalog.ru/rn37/about_fts/ufns_info/;3728012600;370201001;u37@nalog.ru;
3800;Управление Федеральной налоговой службы по Иркутской области;УФНС России по Иркутской области;"

Зайцев Константин Борисович";"

Алабужева Ирина Анатольевна, 

Лизанец Ирина Анатольевна, Фесенко Олег Сергеевич, 

Шафран Татьяна Витальевна  ";http://www.nalog.ru/rn38/about_fts/fts/functions_fts/funct_ufns/;664007, г. Иркутск, ул. Декабрьских событий,47;7 (3952) 28-93-89;7 (3952) 33-46-86;http://www.nalog.ru/rn38/about_fts/ufns_info/;3808114068;384901001;u38@r38.nalog.ru;
3900;Управление Федеральной налоговой службы по Калининградской области;УФНС России по Калининградской области;Дышеков Адам Авесович;"Даргушаов Аскарбий Касимович; Мигаенко Марина Владимировна; Широков Глеб Иванович";http://www.nalog.ru/rn01/about_fts/fts/functions_fts/funct_ufns/;385009, Республика Адыгея, г. Майкоп, ул. Привокзальная, 331 ;7 (8772) 56-80-24 ;7 (8772) 53-36-12;http://www.nalog.ru/rn01/about_fts/ufns_info/;3905012784;390601001;"u39@r39.nalog.ru
";
4000;Управление Федеральной налоговой службы по Калужской области;УФНС России по Калужской области;Зайцев Сергей Дмитриевич;Ламакин Андрей Юрьевич;http://www.nalog.ru/rn40/about_fts/fts/functions_fts/funct_ufns/;248021, Российская Федерация, Калужская область, город Калуга, улица Московская, дом 282;7 (4842) 71-71-34;7 (4842) 59-31-03;http://www.nalog.ru/rn40/about_fts/ufns_info/;4028032810;402801001;u40@r40.nalog.ru;
4100;Управление Федеральной налоговой службы по Камчатскому краю;УФНС России по Камчатскому краю;"

Печерица Александр Александрович";"Кузьмина Марина Юрьевна,
Порошина Галина Юрьевна,
Чеботарева Светлана Васильевна,
Гольде Евгений Вячеславович";http://www.nalog.ru/rn41/about_fts/fts/functions_fts/funct_ufns/;683024, г. Петропавловск-Камчатский, Рыбаков пр., д. 13, корп. «А»;7 (4152) 23-05-05; 7 (4152) 26-75-06;http://www.nalog.ru/rn41/about_fts/ufns_info/;4101035896;410101001;u41@r41.nalog.ru;
4200;Управление Федеральной налоговой службы по Кемеровской области;УФНС России по Кемеровской области;Газизулина Надежда Петровна;"

Антонова Ирина Игоревна, 

Аршинцева Любовь Аркадьевна, 

Санникова Тамара Григорьевна, 

Бизенков Игорь Владимирович";http://www.nalog.ru/rn42/about_fts/fts/functions_fts/funct_ufns/;650099, г. Кемерово, Кузнецкий пр., 70;7 (3842) 36-14-36;7 (3842) 34-96-90;http://www.nalog.ru/rn42/about_fts/ufns_info/;4205074681;420501001;u42@r42.nalog.ru;
4300;Управление Федеральной налоговой службы по Кировской области;УФНС России по Кировской области;"

Чарушина Светлана Геннадьевна";"

Анисимов Александр Тимофеевич, 

Жосу Татьяна Михайловна, 

Сенникова Юлия Викторовна, 

Князев Кирилл Леонидович, 

Черанёва Ольга Ивановна";http://www.nalog.ru/rn43/about_fts/fts/functions_fts/funct_ufns/;610000 г.Киров, ул.Воровского, д.37;7(8332) 37-80-08;7(8332) 37-82-79;http://www.nalog.ru/rn43/about_fts/ufns_info/;4347013155;434501001;u43@r43.nalog.ru;
4400;Управление Федеральной налоговой службы по Костромской области;УФНС России по Костромской области;Афанасьев Алексей Евгеньевич;Мазалова Елена Владимировна, Кривова Ирина Валерьевна, Немирова Татьяна Борисовна;http://www.nalog.ru/rn44/about_fts/fts/functions_fts/funct_ufns/;156961, г. Кострома, пл. Конституции, 4;7 (4942) 39-08-00;7 (4942) 32-56-21;http://www.nalog.ru/rn44/about_fts/ufns_info/;4401050197;440101001;u44@r44.nalog.ru;
4500;Управление Федеральной налоговой службы по Курганской области;УФНС России по Курганской области;"

Рыжук Владимир Алексеевич";"

Пушкарева Ольга Васильевна, 

Григорьев Алексей Юрьевич, 

Терентьев Александр Владимирович";http://www.nalog.ru/rn45/about_fts/fts/functions_fts/funct_ufns/;640002, г.Курган, Климова ул., 60;7 (3522) 49 83 00;7 (3522) 41 78 05;http://www.nalog.ru/rn45/about_fts/ufns_info/;4501111862;450101001;u450007@r45.nalog.ru;
4600;Управление Федеральной налоговой службы по Курской области;УФНС России по Курской области;"

Емельянова Ирина Николаевна ";"

Кисилева Людмила Александровна, 

Молчанов Степан Владимирович ";http://www.nalog.ru/rn46/about_fts/fts/functions_fts/funct_ufns/;305000, г.Курск, М.Горького ул.,д.37;7 (4712) 52-13-49;7 (4712) 56-69-39;http://www.nalog.ru/rn46/about_fts/ufns_info/;4632048580;463201001;u46@r46.nalog.ru;
4800;Управление Федеральной налоговой службы по Липецкой области;УФНС России по Липецкой области;"

Хижняков Борис Петрович";"

Власов Валерий Валентинович, 

Зиновьев Сергей Валерьевич, 

Белокопытова Екатерина Николаевна, 

Портнов Максим Евгеньевич";http://www.nalog.ru/rn48/about_fts/fts/functions_fts/funct_ufns/;398001, г. Липецк, ул. Октябрьская, д.26;7(4742) 23-98-27;7(4742) 22-35-80;http://www.nalog.ru/rn48/about_fts/ufns_info/;4826044619;482601001;u48@r48.nalog.ru;
4900;Управление Федеральной налоговой службы по Магаданской области;УФНС России по Магаданской области;"

Дмитриенко Юрий Павлович";"

Смирнова Ольга Петровна, 

Тюра Сергей Владимирович";http://www.nalog.ru/rn49/about_fts/fts/functions_fts/funct_ufns/;685000, г.Магадан, ул. Пролетарская, 12;7 (4132) 62-53-74;7 (4132) 62-99-82;http://www.nalog.ru/rn49/about_fts/ufns_info/;4909007152;490901001;u49@49.nalog.ru;
5000;Управление Федеральной налоговой службы по Московской области;УФНС России по Московской области;Макарова Екатерина Викторовна;"

Воронцова Ольга Владимировна, 

Баценков Николай Николаевич, 

Яровой Алексей Анатольевич, 

Григорьев Владимир Владимирович, Кривчиков Сергей Альбертович, 

Комзов Александр Владимирович";http://www.nalog.ru/rn50/about_fts/fts/functions_fts/funct_ufns/;125284, г.Москва, Хорошевское шоссе, д. 12А;7(495) 536-13-34 ;7 (495) 536-11-80;http://www.nalog.ru/rn50/about_fts/ufns_info/;7727270387;771401001;u50@r50.nalog.ru;
5100;Управление Федеральной налоговой службы по Мурманской области;УФНС России по Мурманской области;"

Савченко Оксана Юрьевна";"Русанова Татьяна Павловна,
Латина Елена Яковлевна,
Быстров Михаил Юрьевич";http://www.nalog.ru/rn51/about_fts/fts/functions_fts/funct_ufns/;183032, г. Мурманск, Заводская ул., д. 7;7 (8152) 684-029; 7 (8152) 230-079;http://www.nalog.ru/rn51/about_fts/ufns_info/;5190132315;519001001;u51@r51.nalog.ru;
5200;Управление Федеральной налоговой службы по Нижегородской области;УФНС России по Нижегородской области;"

Фотинов Дмитрий Вадимович";"

Разина Альбина Витальевна, 

Большаков Виктор Алексеевич, 

Малахов Павел Валентинович, 

Канагина Светлана Васильевна";http://www.nalog.ru/rn52/about_fts/fts/functions_fts/funct_ufns/;603005, Нижний Новгород, ул.Минина, 20;7 (831) 2-448-448 ;7 (831) 439-05-95;http://www.nalog.ru/rn52/about_fts/ufns_info/;5200000310;526001001;u52@r52.nalog.ru;
5300;Управление Федеральной налоговой службы по Новгородской области;УФНС России по Новгородской области;"

Екимова Татьяна Алексеевна";"Барциц Елена Леонтьевна,
Пуркис Андрей Михайлович,
Воинова Любовь Юрьевна";http://www.nalog.ru/rn53/about_fts/fts/functions_fts/funct_ufns/;ул. Октябрьская, д.17, корп.1, г. Великий Новгород, 173002;7 (8162) 99-34-95;7 (8162) 73-28-15;http://www.nalog.ru/rn53/about_fts/ufns_info/;5321100630;532101001;u53@r53.nalog.ru;
5400;Управление Федеральной налоговой службы по Новосибирской области;УФНС России по Новосибирской области;"

Легостаев Алексей Викторович";"

Гонтаренко Виктор Кузьмич, Щербань Татьяна Петровна, Селиверстова Светлана Владимировна, 

Снегирев Андрей Геннадьевич, 

Васин Александр Владимирович";http://www.nalog.ru/rn54/about_fts/fts/functions_fts/funct_ufns/;ул. Каменская, 49, г. Новосибирск, 630005;7 (383) 228-31-34;7 (383) 224-82-11;http://www.nalog.ru/rn54/about_fts/ufns_info/;5406299616;540601001;u54@r54.nalog.ru;
5500;Управление Федеральной налоговой службы по Омской области;УФНС России по Омской области;"

Репин Владимир Валерьевич ";"

Чурикова Вера Владимировна, 

Сычев Николай Михайлович, 

Евсеенко Сергей Викторович";http://www.nalog.ru/rn55/about_fts/fts/functions_fts/funct_ufns/;644010, Омск, ул. Маршала Жукова, 72/1 ;7(3812) 35-95-61 ;7(3812) 32-12-62 ;http://www.nalog.ru/rn55/about_fts/ufns_info/;5504097209;550401001;u55@r55.nalog.ru;
5600;Управление Федеральной налоговой службы по Оренбургской области;УФНС России по Оренбургской области;Соломин Андрей Алексеевич;"Пеняскина Мария Владимировна,
Прутовая Любовь Михайловна,
Тушмаков Павел Алексеевич,
Щукин Игорь Владимирович";http://www.nalog.ru/rn56/about_fts/fts/functions_fts/funct_ufns/;460021, г. Оренбург, ул. 60 лет Октября, 11а;7 (3532) 70-26-21;7 (3532) 72-74-59;http://www.nalog.ru/rn56/about_fts/ufns_info/;5610010908;561001001;u56@r56.nalog.ru;
